384,40
432,40
768,36
816,36
1152,40
1200,40
1536,40
1586,40
1920,44
1968,44
2112,40
2160,40
2304,44
2352,44
2496,44
2544,44
2688,48
2736,48
2976,44
3027,44
3072,40
3120,40
3264,36
3312,36
3840,37
4224,37
4608,37
4992,37
5376,37
5760,37
6144,37
6528,37
7296,37
7680,37
7872,36
7896,36
7920,36
7944,36
7968,40
7992,40
8064,41
8452,41
8640,40
8664,40
8688,40
8712,40
8736,44
8760,44
8832,45
9024,44
9024,45
9048,44
9120,44
9144,44
9216,45
9408,44
9408,45
9429,44
9504,48
9525,48
9600,49
9696,49
9792,49
9869,49
9984,48
10008,48
10080,44
10104,44
10176,40
10200,40
10272,36
10296,36
