35328	368
35376	368.5
35376	368.5
35424	369
35616	371
35664	371.5
35712	372
35760	372.5
35904	374
35952	374.5
36000	375
36048	375.5
36096	376
36144	376.5
36240	377.5
36288	378
36288	378
36336	378.5
36480	380
36528	380.5
36528	380.5
36576	381
36624	381.5
36672	382
36864	384
36912	384.5
37056	386
37104	386.5
37248	388
37296	388.5
37344	389
37392	389.5
37440	390
37488	390.5
37536	391
37584	391.5
37632	392
37680	392.5
37680	392.5
37728	393
37920	395
37968	395.5
38016	396
38064	396.5
38208	398
38256	398.5
38304	399
38352	399.5
38400	400
38448	400.5
38448	400.5
38496	401
38688	403
38736	403.5
38784	404
38832	404.5
38976	406
39024	406.5
39072	407
39120	407.5
39168	408
39216	408.5
39312	409.5
39360	410
39360	410
39408	410.5
39552	412
39600	412.5
39600	412.5
39648	413
39696	413.5
39744	414
39936	416
39984	416.5
40128	418
40176	418.5
40320	420
40368	420.5
40416	421
40464	421.5
40512	422
40560	422.5
40608	423
40656	423.5
40656	423.5
0	
